S,H,A,TH,TA,gh,ga,allg,ph,pa,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,y1,y2,p1,p2,p5,p6,id,p3,p4,p7,p8,p1.1,p2.1,p3.1,p4.1,KH,KA,last_h5,last_a5,last_5KH,last_5KA
1,0,15,1,1,0,3,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,,,,,1,,,,,,,,,2.0,3.0,0.0,3.0,3.0,3.0
1,1,15,7,7,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.0,5.0,6.0,5.0,68,11.0,12.0,11.0,12.0,7.0,6.0,12.0,13.0,3.0,3.0,0.0,1.5,1.5,0.0
1,14,15,41,41,1,2,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,35.0,18.0,35.0,18.0,449,48.0,52.0,48.0,52.0,35.0,21.0,48.0,55.0,4.0,3.0,1.0,1.6666666666666667,2.0,3.0
1,25,15,30,31,1,0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,28.0,14.0,28.0,14.0,316,44.0,38.0,44.0,38.0,31.0,14.0,47.0,38.0,3.0,3.0,1.0,1.25,1.75,0.5
1,26,15,5,5,1,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,4.0,1.0,4.0,45,1.0,8.0,1.0,8.0,2.0,5.0,2.0,9.0,4.0,3.0,1.0,1.2,1.8,2.5
1,29,15,29,30,4,0,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,24.0,14.0,24.0,14.0,313,45.0,38.0,45.0,38.0,27.0,14.0,48.0,38.0,2.0,3.0,4.0,1.2,1.8,3.5
1,32,15,4,4,3,3,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,3.0,0.0,3.0,37,3.0,7.0,3.0,7.0,1.0,4.0,4.0,8.0,5.0,3.0,3.0,0.6,2.0,6.0
1,36,15,28,28,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,17.0,13.0,17.0,13.0,301,22.0,34.0,22.0,34.0,18.0,14.0,23.0,35.0,4.0,3.0,0.0,1.2,3.2,1.6666666666666667
1,38,15,25,24,1,0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,13.0,13.0,13.0,13.0,272,18.0,31.0,18.0,31.0,16.0,13.0,21.0,31.0,4.0,3.0,1.0,0.8,2.6,1.5
1,46,15,20,19,3,2,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,15.0,7.0,15.0,7.0,214,26.0,23.0,26.0,23.0,18.0,7.0,29.0,23.0,4.0,3.0,3.0,0.8,2.6,2.2
1,30,15,10,10,1,0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,6.0,4.0,6.0,103,15.0,14.0,15.0,14.0,7.0,6.0,18.0,14.0,4.0,3.0,1.0,1.0,3.2,2.2
